Stadium Name,Capacity,Record PL attendance,Building Year,Pitch Length,Pitch Width,Street,City,Postal Code
Emirates Stadium,60260,60161,2006,105,68, 75 Drayton Park,London, N5 1BU
Villa Park,42682,42045,1897,105,68, Trinity Road,Birmingham, B6 6HE
Brentford Community Stadium,17250,17094,2020,105,68, Lionel Road South,Brentford, TW8 0RU
Amex Stadium,30666,30565,2011,105,68, Village Way,Brighton, BN1 9BL
Turf Moor,21944,21870,1883,105,68,52-56 Harry Potts Way, Burnley, BB10 4BX
Stamford Bridge,40853,42332,1877,103,67, Fulham Road,London, SW6 1HS
Selhurst Park,25486,30115,1924,101,68, Holmesdale Road,London, SE25 6PU
Goodison Park,39221,40552,1892,100,68, Goodison Road,Liverpool, L4 4EL
Elland Road,37890,57892,1897,106,69, Elland Road,Leeds, LS11 0ES
King Power Stadium,32273,32242,2002,105,68, Filbert Way,Leicester, LE2 7FL
Anfield,53394,53292,1884,101,68, Anfield Road,Liverpool, L4 0TH
Etihad Stadium,55017,54693,2002,105,68, Etihad Campus,Manchester, M11 3FF
Old Trafford,74879,76098,1909,105,68, Old Trafford,Manchester, M16 0RA
St. James' Park,52305,52490,1892,105,68,St. James' Park,NewcastleUponTyne, NE1 4ST
Carrow Road,27359,27244,1935,104,68, Carrow Road,Norwich, NR1 1JE
St. Mary's Stadium,32384,32151,2001,105,68, Britannia Road,Southampton, SO14 5FP
Tottenham Hotspur Stadium,62062,61104,2019,100,67,782 High Rd,London, N17 0BX
Vicarage Road,21000,21590,1922,105,68, Watford,Hertfordshire, WD18 0ER
London Stadium,60000,59946,2011,105,68, Queen Elizabeth Olympic Park,London, E20 2ST
Molineux Stadium,32050,31322,1889,105,68, Waterloo Rd,Wolverhampton, WV1 4QR
Craven Cottage,19000,19359,1896,100,65, Stevenage Road,London, SW6 6HH
Bramall Lane,32050,68287,1855,102,66,Bramall Lane, Sheffield, S2 4SU
The Hawthorns,26688,27751,1900,105,68,Halfords Ln, West Bromwich, B71 4LF
Vitality Stadium,11329,11459,1910,105,68, Dean Court Rd,Bournemouth, BH7 7AF
Cardiff City Stadium,33316,32321,2009,105,68, Leckwith Road,Cardiff, CF11 8AZ
John Smith's Stadium,24169,24426,1994,106,68, Stadium Way,Huddersfield, HD1 6PX
Wembley Stadium,90000,85512,2007,105,68,Rutherford Way,London, HA9 0WS
